date,close,high,low,open,volume,ticker,close,high,low,open,volume,close,high,low,open,volume,close,high,low,open,volume,close,high,low,open,volume,close,high,low,open,volume,close,high,low,open,volume
,FLRY3.SA,FLRY3.SA,FLRY3.SA,FLRY3.SA,FLRY3.SA,,SAPR11.SA,SAPR11.SA,SAPR11.SA,SAPR11.SA,SAPR11.SA,PSEC11.SA,PSEC11.SA,PSEC11.SA,PSEC11.SA,PSEC11.SA,KFOF11.SA,KFOF11.SA,KFOF11.SA,KFOF11.SA,KFOF11.SA,VALE3.SA,VALE3.SA,VALE3.SA,VALE3.SA,VALE3.SA,PETR3.SA,PETR3.SA,PETR3.SA,PETR3.SA,PETR3.SA,BOVA11.SA,BOVA11.SA,BOVA11.SA,BOVA11.SA,BOVA11.SA
2021-01-27,18.751489639282227,19.148196104232838,18.68065012024136,18.871917824658713,2054427.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,19.04901885986328,19.084439333317157,18.737320126336247,18.80816107324399,2017841.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,18.602724075317383,18.97817823455673,18.503546747965892,18.836497771207387,3193997.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,19.32529640197754,19.516565518655522,18.801076280069744,18.949840830182175,3080740.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,20.33123016357422,20.522499262230404,19.573236429842733,19.66532821585734,4132821.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,20.07620620727539,20.536669481503992,19.97702888482191,20.35248302551895,1897691.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,19.799930572509766,20.267478002980624,19.77159419092157,20.083292955524538,1295669.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,19.94869041442871,20.182464074251435,19.79284178550251,19.877850910116905,788133.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,19.8070068359375,20.331226822300792,19.594485490927152,19.984107717968357,1668844.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,19.62990951538086,19.785759592142806,19.523649532273794,19.693666364965292,909555.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,19.481143951416016,19.771590373753295,19.417388538018592,19.672413057342105,1366295.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,19.899105072021484,20.281644763620267,19.481146338802212,19.481146338802212,1804901.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,20.054950714111328,20.118707554055757,19.771588413891745,19.948689314203946,1617094.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,19.98410987854004,20.16829487307986,19.67949529684975,20.054950812157962,1204257.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-18,19.551984786987305,19.856599395751783,19.325295212128534,19.764506173863225,1777435.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,19.62990951538086,19.693666364965292,19.38905173870666,19.580322287459957,828748.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,18.9215030670166,19.26153814177623,18.82232718515909,19.070269039103202,2065138.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-23,19.183610916137695,19.289872312625562,18.659390892531018,18.92150090433436,2795582.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-24,19.105690002441406,19.21903407504611,18.92858765014198,19.183613604586224,1251341.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,18.99234390258789,19.396134387459746,18.92150296388515,19.11277349838255,1778496.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,19.006511688232422,19.821178167478454,18.82232668436874,19.19778078581651,3118280.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,18.36186408996582,19.3677997014024,18.36186408996582,19.211949634191892,2233115.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-02,18.15643310546875,18.276861311828878,17.490530907239563,18.22018854042769,3198027.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,18.202917098999023,18.27515132025107,17.299995177541135,18.123459455621777,3611712.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-04,18.412395477294922,18.672437221195732,18.109013199235942,18.282375335868625,1884966.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,18.181245803833008,18.53519054584364,18.094564743235427,18.53519054584364,2576385.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,17.653940200805664,18.311267240781255,17.51669663944415,18.159576834955562,4856479.0,FLRY3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
