ticker,price_id,asset_id,data,open_price,high_price,low_price,close_price,volume,source
FLRY3.SA,1,1,2021-02-26,19.197778859273566,19.821176178376103,18.822324795503512,19.00650978088379,3118280,yfinance
VALE3.SA,5077,6,2021-02-26,55.801205161156766,56.46584569273088,54.338984527204545,54.627960205078125,42856000,yfinance
PETR3.SA,2495,3,2021-02-26,6.764810977253045,6.823969455787854,6.495637840653749,6.5518388748168945,47419800,yfinance
SAPR11.SA,3830,5,2021-02-26,14.761548399732932,14.951831292547183,14.402938815704221,14.446849822998047,3123100,yfinance
KFOF11.SA,1248,2,2021-02-26,66.2597064031043,66.55987780361681,66.23360389281477,66.34453582763672,3835,yfinance
SAPR11.SA,3831,5,2021-03-01,14.717637226679182,14.72495596046335,14.241929302048423,14.293160438537598,1922300,yfinance
FLRY3.SA,2,1,2021-03-01,19.21194763854016,19.36779768956166,18.361862182617188,18.361862182617188,2233115,yfinance
VALE3.SA,5078,6,2021-03-01,55.48332752440505,57.40790650616834,55.11343902699584,56.96866226196289,32798000,yfinance
PETR3.SA,2496,3,2021-03-01,6.702693996389796,6.773684509886747,6.504511934642386,6.510427951812744,40852500,yfinance
KFOF11.SA,1249,2,2021-03-01,65.98566167148056,65.98566167148056,65.56803131103516,65.56803131103516,6998,yfinance
FLRY3.SA,3,1,2021-03-02,18.220182798289102,18.276855551829726,17.49052539505443,18.15642738342285,3198027,yfinance
VALE3.SA,5079,6,2021-03-02,56.35024928821728,59.05506143042844,54.87069543586871,58.7198486328125,47565800,yfinance
SAPR11.SA,3832,5,2021-03-02,14.161424080651516,14.490758680351686,13.810133282609115,14.454166412353516,3045300,yfinance
PETR3.SA,2497,3,2021-03-02,6.477890303846501,6.5755023286538785,6.134769212754965,6.48084831237793,52848600,yfinance
KFOF11.SA,1250,2,2021-03-02,65.62020158656274,65.87469481636275,65.26782519640635,65.32003021240234,10706,yfinance
KFOF11.SA,1251,2,2021-03-03,65.7050694123403,65.78989887258598,64.7066716215269,65.54845428466797,10561,yfinance
VALE3.SA,5080,6,2021-03-03,58.951038065243296,60.106940772404926,57.59285326621215,57.99741744995117,41473300,yfinance
FLRY3.SA,4,1,2021-03-03,18.12346135464463,18.275153235168588,17.299996990279276,18.202919006347656,3611712,yfinance
PETR3.SA,2498,3,2021-03-03,6.418732800196271,6.474933278277914,6.09335914671573,6.202802658081055,55664000,yfinance
SAPR11.SA,3833,5,2021-03-03,14.432210395582969,14.81277612953624,14.073600860248158,14.607855796813965,2234400,yfinance
PETR3.SA,2499,3,2021-03-04,6.24717099971728,6.545922513605685,6.190969968508485,6.4690165519714355,47489800,yfinance
VALE3.SA,5081,6,2021-03-04,57.44835902631245,58.65627510417649,56.361807780627466,57.13626480102539,48492500,yfinance
KFOF11.SA,1252,2,2021-03-04,65.54843207176424,65.86165724241698,64.73927410051701,65.26131439208984,4358,yfinance
FLRY3.SA,5,1,2021-03-04,18.282375335868625,18.672437221195732,18.109013199235942,18.412395477294922,1884966,yfinance
SAPR11.SA,3834,5,2021-03-04,14.871324771128926,15.186023308825382,14.732271636724674,14.966466903686523,1975400,yfinance
VALE3.SA,5082,6,2021-03-05,57.209745660004465,60.76119353811155,56.7325945740033,60.525638580322266,46503300,yfinance
PETR3.SA,2500,3,2021-03-05,6.551838567831586,6.744104601380395,6.445353085785314,6.525217056274414,43166600,yfinance
FLRY3.SA,6,1,2021-03-05,18.53519054584364,18.53519054584364,18.094564743235427,18.181245803833008,2576385,yfinance
KFOF11.SA,1253,2,2021-03-05,65.81598874861794,65.82251562232034,64.70013231571357,65.16996765136719,1787,yfinance
SAPR11.SA,3835,5,2021-03-05,15.017694256910936,15.134791173869257,14.717633232717068,14.761544227600098,1917400,yfinance
FLRY3.SA,7,1,2021-03-08,18.159576834955562,18.311267240781255,17.51669663944415,17.653940200805664,4856479,yfinance
KFOF11.SA,1254,2,2021-03-08,65.12433188424366,65.5550112365731,64.60881805419922,64.60881805419922,5978,yfinance
SAPR11.SA,3836,5,2021-03-08,14.695680955299446,14.856688910066703,14.48344326019287,14.483443260192871,1528000,yfinance
VALE3.SA,5083,6,2021-03-08,59.91561066772672,61.56450001538428,59.73441702376121,60.199485778808594,39677300,yfinance
PETR3.SA,2501,3,2021-03-08,6.418732709854729,6.504512712351373,6.173223609755171,6.211676597595215,40592700,yfinance
VALE3.SA,5084,6,2021-03-09,58.88881717242432,59.98203373971213,57.9103551666572,59.595481872558594,40537000,yfinance
FLRY3.SA,8,1,2021-03-09,17.632270959296974,17.98621720820056,17.393899472826647,17.581707000732422,2381367,yfinance
KFOF11.SA,1255,2,2021-03-09,64.62186683155198,65.16348319485111,64.60881805419922,64.60881805419922,4669,yfinance
SAPR11.SA,3837,5,2021-03-09,14.57126333557151,14.629811801873888,14.35902566868997,14.424891471862793,1170200,yfinance
PETR3.SA,2502,3,2021-03-09,6.253087375594186,6.477890969438979,6.146601878433756,6.327035903930664,33864000,yfinance
FLRY3.SA,9,1,2021-03-10,17.632268626402322,17.841746394548696,17.415567436559584,17.733396530151367,2130886,yfinance
PETR3.SA,2503,3,2021-03-10,6.415774178882614,6.593250751495361,6.350699115887873,6.593250751495361,33131800,yfinance
SAPR11.SA,3838,5,2021-03-10,14.395617155302189,14.834731326688651,14.263882764295703,14.798137664794922,2115700,yfinance
KFOF11.SA,1256,2,2021-03-10,64.67401214716485,64.82409535153427,63.96273246412048,64.43909454345703,5538,yfinance
VALE3.SA,5085,6,2021-03-10,58.88882788471015,59.094181585463716,57.81373002061776,58.677433013916016,31311800,yfinance
FLRY3.SA,10,1,2021-03-11,17.913980928598633,18.16679923139818,17.7839593357627,17.950098037719727,1852410,yfinance
SAPR11.SA,3839,5,2021-03-11,14.893282954264953,15.427537968280058,14.79814080903139,15.310441017150879,1806700,yfinance
PETR3.SA,2504,3,2021-03-11,6.655366994226426,6.847633039000922,6.637619506879576,6.7884745597839355,39160900,yfinance
VALE3.SA,5086,6,2021-03-11,59.78875948635844,60.45918640780714,59.31764967302948,60.21759033203125,26203200,yfinance
KFOF11.SA,1257,2,2021-03-11,64.51744136152395,64.51744136152395,61.41783745787348,63.19929122924805,33752,yfinance
FLRY3.SA,11,1,2021-03-12,17.733399463991773,17.899536729445984,17.639494966403383,17.755069732666016,2056548,yfinance
KFOF11.SA,1258,2,2021-03-12,63.2971913740131,63.2971913740131,61.757176835083094,61.97904586791992,16277,yfinance
VALE3.SA,5087,6,2021-03-12,59.79480614484272,60.06056231339973,58.41167320731272,58.828426361083984,21115500,yfinance
SAPR11.SA,3840,5,2021-03-12,15.361668836604094,15.442173503896667,15.105518764595942,15.281164169311523,1527200,yfinance
PETR3.SA,2505,3,2021-03-12,6.747062184935253,6.826926714577722,6.6524081783289395,6.71452522277832,19890600,yfinance
KFOF11.SA,1259,2,2021-03-15,61.99859560804907,63.29716491699219,61.99859560804907,63.29716491699219,5786,yfinance
SAPR11.SA,3841,5,2021-03-15,15.551952369233295,15.712960314765205,15.38362569037189,15.58122730255127,3226300,yfinance
PETR3.SA,2506,3,2021-03-15,6.726357288821171,6.8801703453063965,6.696777768084408,6.8801703453063965,17028300,yfinance
VALE3.SA,5088,6,2021-03-15,58.28483911567421,58.79822796865572,57.83788930804986,58.47811508178711,20059000,yfinance
FLRY3.SA,12,1,2021-03-15,17.755068705467494,18.52797052698856,17.74062186052047,18.311267852783203,1431938,yfinance
SAPR11.SA,3842,5,2021-03-16,15.63977461291307,15.63977461291307,15.07624475150312,15.368987083435059,2926700,yfinance
FLRY3.SA,13,1,2021-03-16,18.253479441818268,18.484628947912533,18.11623588362295,18.159576416015625,1522819,yfinance
PETR3.SA,2507,3,2021-03-16,6.8446762703578035,6.868339779167844,6.732274744555752,6.776643753051758,15310200,yfinance
KFOF11.SA,1260,2,2021-03-16,63.2906287681703,63.2906287681703,61.63315626011589,62.27265548706055,7571,yfinance
VALE3.SA,5089,6,2021-03-16,58.61099117184014,59.09417876659772,57.994920882841605,58.29087829589844,19174300,yfinance
VALE3.SA,5090,6,2021-03-17,58.22444628061456,59.26330641642623,58.019087956807105,59.130428314208984,21424300,yfinance
KFOF11.SA,1261,2,2021-03-17,62.01161631122159,62.98391113411436,61.404746661272235,62.644588470458984,3889,yfinance
FLRY3.SA,14,1,2021-03-17,18.15957656304625,18.318490388724566,17.950098782500422,18.239032745361328,2217314,yfinance
SAPR11.SA,3843,5,2021-03-17,15.3323953945567,15.873969078063965,15.098200124259373,15.873969078063965,2972200,yfinance
PETR3.SA,2508,3,2021-03-17,6.767767340516024,7.028066409871845,6.6997348471866625,6.992570877075195,25962600,yfinance
KFOF11.SA,1262,2,2021-03-18,62.64460577713816,62.64460577713816,61.528749334158405,61.99205780029297,9862,yfinance
FLRY3.SA,15,1,2021-03-18,18.231812405361378,18.325715440273672,17.87064272809971,18.0223331451416,1321862,yfinance
PETR3.SA,2509,3,2021-03-18,6.921582725011034,6.9570782698557005,6.732274656992935,6.79439115524292,26139300,yfinance
SAPR11.SA,3844,5,2021-03-18,15.837373703788918,16.15207221200929,15.698321978314459,16.02765655517578,2632600,yfinance
VALE3.SA,5091,6,2021-03-18,59.00962816447722,59.35390115420169,57.698975256935206,58.079490661621094,19156100,yfinance
KFOF11.SA,1263,2,2021-03-19,62.21390455461909,62.41619775702899,61.74407432292012,62.08992385864258,9676,yfinance
PETR3.SA,2510,3,2021-03-19,6.797347483500189,6.986656068889157,6.738189008964341,6.957076549530029,37789800,yfinance
FLRY3.SA,16,1,2021-03-19,18.05845041421011,18.347384381868608,18.000663036259134,18.28959846496582,1700022,yfinance
VALE3.SA,5092,6,2021-03-19,58.0432509842871,58.07949340095791,56.43664515915118,57.24598693847656,38643000,yfinance
SAPR11.SA,3845,5,2021-03-19,16.020338243441568,16.488727349883614,15.910560048272746,16.349674224853516,2116800,yfinance
SAPR11.SA,3846,5,2021-03-22,16.269168170316025,16.335035360957416,15.917877417498856,15.954469680786133,1913300,yfinance
PETR3.SA,2511,3,2021-03-22,6.871295223317858,6.89495872329459,6.735230239497231,6.826926231384277,18776800,yfinance
VALE3.SA,5093,6,2021-03-22,56.48495284394087,56.67822880973466,55.476294041456434,56.2977180480957,21120800,yfinance
KFOF11.SA,1264,2,2021-03-22,61.75061845762182,61.992063021667114,61.60053519829218,61.8223991394043,3025,yfinance
FLRY3.SA,17,1,2021-03-22,18.26792922343735,18.54963978466168,18.044004582358774,18.217365264892578,1110406,yfinance
SAPR11.SA,3847,5,2021-03-23,15.954471587263242,16.181348113652103,15.903241854177221,16.05693244934082,1620800,yfinance
PETR3.SA,2512,3,2021-03-23,6.747064456701305,6.87721404169811,6.6701579093933105,6.6701579093933105,15989200,yfinance
VALE3.SA,5094,6,2021-03-23,56.37622958264829,56.64198573892505,54.99913787841797,54.99913787841797,20518500,yfinance
FLRY3.SA,18,1,2021-03-23,18.13790804536163,18.57131049248576,18.05122843256579,18.383502960205078,1109134,yfinance
KFOF11.SA,1265,2,2021-03-23,61.81587197258189,62.122565339400396,61.34603663317641,61.79629135131836,11868,yfinance
FLRY3.SA,19,1,2021-03-24,18.267927434788856,18.47018178811655,17.921204642621284,17.942874908447266,1821444,yfinance
KFOF11.SA,1266,2,2021-03-24,61.678838548895946,61.98553692425669,61.34604263305663,61.34604263305664,12432,yfinance
SAPR11.SA,3848,5,2021-03-24,16.108163876592016,16.35699523138525,15.91788099375568,15.991066932678223,1954900,yfinance
PETR3.SA,2513,3,2021-03-24,6.735230384885466,6.897916880214498,6.664239883422851,6.664239883422852,22253300,yfinance
VALE3.SA,5095,6,2021-03-24,55.56688759285195,57.16141530295838,55.452128415634675,56.261474609375,24726000,yfinance
KFOF11.SA,1267,2,2021-03-25,61.36562700291032,61.36562700291032,60.60866877919703,60.92189407348633,7394,yfinance
FLRY3.SA,20,1,2021-03-25,17.9139823943734,18.36183166202309,17.64671722605699,18.137907028198242,1884330,yfinance
SAPR11.SA,3849,5,2021-03-25,15.99838505430963,16.59118848468991,15.691005239315109,16.40090560913086,2200800,yfinance
VALE3.SA,5096,6,2021-03-25,56.19504109010856,56.34603808209357,54.727350143691766,55.83264923095703,23644400,yfinance
PETR3.SA,2514,3,2021-03-25,6.619871357534672,6.838759476368816,6.501553836666514,6.791431903839111,23611500,yfinance
PETR3.SA,2515,3,2021-03-26,6.86242219832992,7.033982725079049,6.791431129718494,6.892001152038574,21935500,yfinance
FLRY3.SA,21,1,2021-03-26,18.13068214356435,18.340159915664533,17.957321480627662,18.174022674560547,1664072,yfinance
KFOF11.SA,1268,2,2021-03-26,60.92189958223634,61.85504369561402,60.7783381834786,61.19596862792969,8166,yfinance
SAPR11.SA,3850,5,2021-03-26,16.496047582179713,16.518002385666332,16.042295899412924,16.174030303955078,1454500,yfinance
VALE3.SA,5097,6,2021-03-26,56.617820531552404,57.81975968705043,56.406425702816605,57.69895935058594,26712800,yfinance
KFOF11.SA,1269,2,2021-03-29,61.65926932029095,61.90724078755824,61.00672121240351,61.56138610839844,6442,yfinance
VALE3.SA,5098,6,2021-03-29,57.98284328478205,59.46261192122081,57.904326510069694,59.178741455078125,25960500,yfinance
SAPR11.SA,3851,5,2021-03-29,16.122799647853,16.247215312164283,15.932516785029538,16.05693244934082,1000600,yfinance
FLRY3.SA,22,1,2021-03-29,17.950102571428314,18.17402724348828,17.863421487644402,18.015111923217773,1130131,yfinance
PETR3.SA,2516,3,2021-03-29,6.829884664654017,6.998487183008746,6.829884664654017,6.9955291748046875,16628800,yfinance
FLRY3.SA,23,1,2021-03-30,17.986218624038028,18.542417828886116,17.986218624038028,18.49907875061035,1800235,yfinance
PETR3.SA,2517,3,2021-03-30,6.90974993364674,7.04581494051168,6.90974993364674,6.97482442855835,15046700,yfinance
SAPR11.SA,3852,5,2021-03-30,16.056934293665076,16.305765650868796,16.020340625896477,16.247217178344727,1444700,yfinance
VALE3.SA,5099,6,2021-03-30,59.136460688495056,59.49281135683363,58.333155632259725,58.62910842895508,18118600,yfinance
KFOF11.SA,1270,2,2021-03-30,61.561373745873084,63.21884620448538,61.19594847197449,61.99205780029297,3915,yfinance
SAPR11.SA,3853,5,2021-03-31,16.25453262863117,16.371630955988373,15.830055903142485,16.10084342956543,3259300,yfinance
KFOF11.SA,1271,2,2021-03-31,61.4700121980024,62.37705341036944,61.4700121980024,61.96595001220703,7907,yfinance
PETR3.SA,2518,3,2021-03-31,6.977782233733445,7.134553295675802,6.962992755742576,7.081310272216797,16817600,yfinance
VALE3.SA,5100,6,2021-03-31,58.68951813202252,59.52906115887774,58.405643009203544,59.17271041870117,18792000,yfinance
FLRY3.SA,24,1,2021-03-31,18.49907713657971,18.665214395111878,18.159577735876667,18.491853713989258,2233857,yfinance
SAPR11.SA,3854,5,2021-04-01,15.859332906730993,16.26185348671629,15.859332906730993,16.239898681640625,2701500,yfinance
KFOF11.SA,1272,2,2021-04-01,61.97901502841028,61.97901502841028,61.03934425769589,61.34604263305664,4794,yfinance
PETR3.SA,2519,3,2021-04-01,7.1375111554754005,7.152301198509771,6.942287100881345,6.986656665802002,17294200,yfinance
VALE3.SA,5101,6,2021-04-01,59.49280699049644,59.71024299890361,58.06135403649287,58.82238006591797,17193400,yfinance
FLRY3.SA,25,1,2021-04-01,18.491852539305263,18.83857387952524,18.455735428647316,18.556861877441406,2000450,yfinance
PETR3.SA,2520,3,2021-04-05,7.039898038416123,7.08426759646846,6.960034075123123,7.060604095458984,13356000,yfinance
SAPR11.SA,3855,5,2021-04-05,16.254532670446114,16.3130825322281,15.859330874756454,15.910560607910156,1483400,yfinance
KFOF11.SA,1273,2,2021-04-05,61.82240302640162,61.82892990112305,61.35909449211432,61.82892990112305,6996,yfinance
FLRY3.SA,26,1,2021-04-05,18.694108083061515,18.83135165121416,18.61465043457678,18.715778350830078,1165020,yfinance
VALE3.SA,5102,6,2021-04-05,60.29611638631574,62.70602694589022,60.27799748563704,62.446311950683594,35908700,yfinance
KFOF11.SA,1274,2,2021-04-06,61.50919255007675,62.38360471744112,61.50919255007675,62.18131637573242,9050,yfinance
FLRY3.SA,27,1,2021-04-06,18.780789104159734,19.553690996164793,18.643545525695455,19.445341110229492,5964553,yfinance
PETR3.SA,2521,3,2021-04-06,7.069477893598589,7.140468400019899,6.977781893327196,7.00736141204834,15745800,yfinance
SAPR11.SA,3856,5,2021-04-06,15.881286127242147,16.01301912069071,15.815418932565139,15.837373733520508,1311400,yfinance
VALE3.SA,5103,6,2021-04-06,62.6939571649538,63.15298473389726,61.63697814941406,61.63697814941406,22227800,yfinance
KFOF11.SA,1275,2,2021-04-07,61.99205780029297,62.57935197516284,61.894174608057,61.99205780029297,4906,yfinance
VALE3.SA,5104,6,2021-04-07,61.83024654598212,63.61200911046343,61.69736846303271,63.152976989746094,32822700,yfinance
SAPR11.SA,3857,5,2021-04-07,15.844693949208557,15.991065816839978,15.588543878806359,15.66172981262207,1834700,yfinance
FLRY3.SA,28,1,2021-04-07,19.358657408467195,19.734273899378604,19.300870031242646,19.51034927368164,2012645,yfinance
PETR3.SA,2522,3,2021-04-07,6.977783804324939,7.116806846951289,6.971867786124018,7.039900302886963,22334400,yfinance
KFOF11.SA,1276,2,2021-04-08,61.99206511892271,63.47987388520941,61.99206511892271,62.54020309448242,6036,yfinance
SAPR11.SA,3858,5,2021-04-08,15.749557386904446,15.749557386904446,15.347035342179746,15.464132308959961,2568200,yfinance
VALE3.SA,5105,6,2021-04-08,63.38249735470691,63.59993338674857,62.88722741684813,63.11674118041992,25936300,yfinance
FLRY3.SA,29,1,2021-04-08,19.430890579764725,19.524793601631025,19.156402013832295,19.30086898803711,2405015,yfinance
PETR3.SA,2523,3,2021-04-08,7.031025324714251,7.042856794384085,6.865380235877163,6.921581268310547,21325900,yfinance
SAPR11.SA,3859,5,2021-04-09,15.412899220675598,15.66173057014102,15.412899220675598,15.551952362060547,2001100,yfinance
PETR3.SA,2524,3,2021-04-09,6.84467297985232,6.986654528638958,6.829883505524389,6.9511590003967285,21537900,yfinance
KFOF11.SA,1277,2,2021-04-09,62.54020544796218,63.29063673387723,61.99859432655271,63.284114837646484,2928,yfinance
VALE3.SA,5106,6,2021-04-09,62.81474230127427,63.21337653159444,62.17451659470652,62.21075439453125,18854800,yfinance
FLRY3.SA,30,1,2021-04-09,19.257532412853116,19.373105714977054,19.019159463810418,19.0625,1827701,yfinance
VALE3.SA,5107,6,2021-04-12,62.150368051170986,62.591276724344574,61.733614843652134,62.452362060546875,14787500,yfinance
FLRY3.SA,31,1,2021-04-12,19.25030506004683,19.59702784404426,19.221412834007797,19.488677978515625,1796524,yfinance
SAPR11.SA,3860,5,2021-04-12,15.55926799982133,15.625135190746258,15.40557742236137,15.486082077026367,1425300,yfinance
KFOF11.SA,1278,2,2021-04-12,63.26453377833886,63.897506206640884,62.488004955746376,63.023094177246094,5227,yfinance
PETR3.SA,2525,3,2021-04-12,6.98074142710899,7.16709147666494,6.977783418172227,7.022152423858643,13987300,yfinance
SAPR11.SA,3861,5,2021-04-13,15.471445347927398,15.471445347927398,15.325074891292637,15.449490547180176,1309500,yfinance
PETR3.SA,2526,3,2021-04-13,7.0251104327954055,7.081311474228873,6.960035928734165,7.022152423858643,17292200,yfinance
KFOF11.SA,1279,2,2021-04-13,63.244965767317886,63.258019518358886,61.60054661301008,62.0181770324707,7224,yfinance
FLRY3.SA,32,1,2021-04-13,19.539242818933523,20.052102904291335,19.539242818933523,19.654817581176758,2582006,yfinance
VALE3.SA,5108,6,2021-04-13,62.75434926393909,62.98990419706029,62.12016006980515,62.561073303222656,17605600,yfinance
VALE3.SA,5109,6,2021-04-14,62.79661886698444,65.0978111509325,62.67581852952129,64.62670135498047,38030200,yfinance
FLRY3.SA,33,1,2021-04-14,19.662041885215412,19.842625998267316,19.532020271863242,19.633148193359375,1809885,yfinance
PETR3.SA,2527,3,2021-04-14,7.057646904236243,7.22624943896738,7.001445871265053,7.1345534324646,26209700,yfinance
KFOF11.SA,1280,2,2021-04-14,62.018141185635464,62.49449827380161,61.796272353105586,61.802799224853516,4259,yfinance
SAPR11.SA,3862,5,2021-04-14,15.434854575556889,15.456810774333086,15.17138577386481,15.200660705566406,1934100,yfinance
FLRY3.SA,34,1,2021-04-15,19.640371765253786,19.82817930269382,19.44534080479497,19.582584381103516,2186879,yfinance
SAPR11.SA,3863,5,2021-04-15,15.478766764197578,15.588544974685794,15.22993540927459,15.23725414276123,3377300,yfinance
PETR3.SA,2528,3,2021-04-15,7.190474125609466,7.221058989433746,6.99167338578828,7.010024070739746,15755200,yfinance
VALE3.SA,5110,6,2021-04-15,65.62932600045743,66.36618735168136,64.95889907737356,65.35752868652344,19378200,yfinance
KFOF11.SA,1281,2,2021-04-15,61.98553099082449,62.35748313887021,61.848496512970385,62.18782424926758,3460,yfinance
VALE3.SA,5111,6,2021-04-16,65.61725707354266,65.90113217568754,64.92871111041215,65.6353759765625,17401500,yfinance
FLRY3.SA,35,1,2021-04-16,19.560911479993784,19.734273609117544,19.401997656011822,19.647592544555664,2159095,yfinance
SAPR11.SA,3864,5,2021-04-16,15.105519606708786,15.61050104585913,15.105519606708786,15.588544845581055,3296800,yfinance
KFOF11.SA,1282,2,2021-04-16,62.25962033997628,62.63809447695076,62.024702611621244,62.6185188293457,3219,yfinance
PETR3.SA,2529,3,2021-04-16,6.976380002153708,7.0742510904455,6.860158230646631,6.9274444580078125,38648600,yfinance
KFOF11.SA,1283,2,2021-04-19,62.618491656763105,62.80773113240563,62.226963938919454,62.7359504699707,2332,yfinance
FLRY3.SA,36,1,2021-04-19,19.71982971437461,20.05210425612806,19.488681635353288,19.575361251831055,2239053,yfinance
PETR3.SA,2530,3,2021-04-19,6.9274450897502255,7.429035338024303,6.875450996433941,7.276111602783203,53749800,yfinance
VALE3.SA,5112,6,2021-04-19,65.8346819389582,66.3661896388291,65.0132580158455,65.06761932373047,23297500,yfinance
SAPR11.SA,3865,5,2021-04-19,15.603183349109896,15.734917767719445,15.39094564927677,15.456812858581543,1970600,yfinance
FLRY3.SA,37,1,2021-04-20,19.48868268642432,19.662043389777974,19.26475801845338,19.37310791015625,1700446,yfinance
KFOF11.SA,1284,2,2021-04-20,62.64460786312115,63.23190205754714,62.638080989142495,62.892574310302734,1956,yfinance
VALE3.SA,5113,6,2021-04-20,65.20049623419072,65.44209233163427,63.430811386905496,64.1193618774414,20895800,yfinance
PETR3.SA,2531,3,2021-04-20,7.282225756014224,7.34339546369034,7.068132945862949,7.095659255981445,32032000,yfinance
SAPR11.SA,3866,5,2021-04-20,15.427536554030246,16.064252388844658,15.405580354241597,15.976428985595703,2839300,yfinance
SAPR11.SA,3867,5,2021-04-22,16.049618438995854,16.093529452288976,15.6470963967734,15.683690071105957,1540800,yfinance
PETR3.SA,2532,3,2021-04-22,7.190472257144309,7.199647888914606,7.06813341699505,7.09871768951416,17247700,yfinance
KFOF11.SA,1285,2,2021-04-22,63.07526864094299,63.297132488831444,62.0181394813278,62.6511116027832,6520,yfinance
FLRY3.SA,38,1,2021-04-22,19.45978783464236,19.50312837316444,19.004713641208866,19.084171295166016,1347419,yfinance
VALE3.SA,5114,6,2021-04-22,64.77166851289006,64.77166851289006,63.02010248097237,64.1616439819336,19799100,yfinance
SAPR11.SA,3868,5,2021-04-23,15.808102134770138,15.8812880706901,15.544633323820522,15.822739601135254,1564300,yfinance
PETR3.SA,2533,3,2021-04-23,7.144595078783416,7.15988721464438,7.037548377683895,7.117068767547607,16676900,yfinance
FLRY3.SA,39,1,2021-04-23,19.257532865787358,19.286426557259986,18.88191633769149,18.968597412109375,1366189,yfinance
VALE3.SA,5115,6,2021-04-23,64.7172999329137,65.29108655502489,64.30054683614267,65.22464752197266,12795400,yfinance
KFOF11.SA,1286,2,2021-04-23,63.26452959240475,63.26452959240475,62.5467277542594,62.5793571472168,3111,yfinance
SAPR11.SA,3869,5,2021-04-26,15.895920303860493,15.969106222113309,15.595859295338697,15.676363945007324,1176500,yfinance
VALE3.SA,5116,6,2021-04-26,66.40848353046577,66.85543800039972,65.32130781715315,65.57498168945312,16807500,yfinance
PETR3.SA,2534,3,2021-04-26,7.1415372657664395,7.211882031297727,7.089543181817739,7.12624454498291,11732500,yfinance
KFOF11.SA,1287,2,2021-04-26,62.44883679369369,62.7685888735936,62.15519220775253,62.5662956237793,3604,yfinance
FLRY3.SA,40,1,2021-04-26,18.997493203307396,19.084172826257362,18.564089244363668,18.694110870361328,1813597,yfinance
KFOF11.SA,1288,2,2021-04-27,62.76858075018889,62.77510264428877,61.998574070068564,62.122554779052734,3904,yfinance
FLRY3.SA,41,1,2021-04-27,18.737448468904446,18.75189531396807,18.2968211555121,18.3546085357666,1473508,yfinance
VALE3.SA,5117,6,2021-04-27,65.76221334854283,66.80107347059415,65.5447772947152,66.51116180419922,24113300,yfinance
PETR3.SA,2535,3,2021-04-27,7.141538944217463,7.230234412177124,6.918270418522754,6.954971790313721,22021900,yfinance
SAPR11.SA,3870,5,2021-04-27,15.698324831408609,15.72027963631294,15.259210586547852,15.259210586547852,1548800,yfinance
FLRY3.SA,42,1,2021-04-28,18.40516882514484,18.535188943754846,18.152350547968986,18.397945404052734,1619851,yfinance
KFOF11.SA,1289,2,2021-04-28,62.12256540424362,62.63807890337684,61.60705688365638,61.99205780029297,5731,yfinance
PETR3.SA,2536,3,2021-04-28,7.022255851891676,7.224115667633643,7.013080803465408,7.2027058601379395,19082500,yfinance
SAPR11.SA,3871,5,2021-04-28,15.332395273486416,15.471447012867499,15.207979604210044,15.427536010742188,1166500,yfinance
VALE3.SA,5118,6,2021-04-28,66.77688861455592,67.90634744121013,66.03398621307272,67.59831237792969,20570600,yfinance
KFOF11.SA,1290,2,2021-04-29,61.99206691933182,62.64461499216689,61.67884165381044,61.82892990112305,3614,yfinance
